Место в рейтинге,ИНН,Компания,Регион,Категория МСП,Адрес,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %",Широта,Долгота,Геоточка,Точность геокодирования
222,7704442569,"ООО ""МЕЖРЕГИОНСТРОЙ""",МОСКВА,Малое предприятие,"125424, МОСКВА, ВОЛОКОЛАМСКОЕ, 73, 3",407.203,145.286,,35.67901022340209,55.8243084,37.429523,"55.824308,37.429523",address
223,5001117650,"ООО ""ЦЕНТР ГАЗ""",МОСКОВСКАЯ,Малое предприятие,"143909, МОСКОВСКАЯ, БАЛАШИХА, СОЛНЕЧНАЯ, 6А, 1/С",2007.865,144.862,191.698,7.21472808181825,55.8224324,37.9560208,"55.822432,37.956021",address
224,3906151325,"ЗАО ""МОНТАЖ-ОКНО""",КАЛИНИНГРАДСКАЯ,Малое предприятие,"236003, КАЛИНИНГРАДСКАЯ, КАЛИНИНГРАД, ЯЛТИНСКАЯ, 44, ЛИТ.А ЛИТ.II А",259.037,144.835,,55.91286186915383,54.710128,20.5105838,"54.710128,20.510584",city_or_region
225,6027112351,"ООО СЗ ""КАПИТАЛ ИНВЕСТСТРОЙ""",ПСКОВСКАЯ,Малое предприятие,"180006, ПСКОВСКАЯ, ПСКОВ, ЛИНЕЙНАЯ, 3, 101",258.27,144.649,173.615,56.006892012235255,57.8404466,28.3317596,"57.840447,28.33176",address
226,7725375056,"ООО ""МОНОЛИТ""",МОСКВА,Малое предприятие,"123298, МОСКВА, НАРОДНОГО ОПОЛЧЕНИЯ, 40, 1, 1 КОМ 4",358.617,144.642,,40.33328035201901,55.7941411,37.5017091,"55.794141,37.501709",address
227,6330032139,"ООО ""РСГ-ГРУПП""",МОСКВА,Среднее предприятие,"115280, МОСКВА, ЛЕНИНСКАЯ СЛОБОДА, 19, 6А/4",1285.432,144.557,171.547,11.245791298178355,55.707719,37.654326,"55.707719,37.654326",address
228,8901020705,"ООО ""УТС""",ЯМАЛО-НЕНЕЦКИЙ,Малое предприятие,"629003, ЯМАЛО-НЕНЕЦКИЙ, САЛЕХАРД, АВИАЦИОННАЯ, 33, 1",263.798,143.873,,54.539079143890405,66.5970689,66.5758724,"66.597069,66.575872",address
229,7720714650,"ООО ""АДЮТОН-Н""",МОСКВА,Среднее предприятие,"123242, МОСКВА, ЗООЛОГИЧЕСКАЯ, 10, 2/5",2980.717,143.859,199.321,4.8263219889711095,55.781429,37.5520571,"55.781429,37.552057",address
230,7203201298,"ООО ""ТСП""",ТЮМЕНСКАЯ,Малое предприятие,"625047, ТЮМЕНСКАЯ, Тюмень, ВЫСОТНАЯ, 1, 1, 301,307",350.895,142.93,195.437,40.732982801122844,57.0958285,65.1625961,"57.095828,65.162596",address
231,5261090174,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""МОЙ ДОМ КАМЕНКИ""",НИЖЕГОРОДСКАЯ,Малое предприятие,"607635, НИЖЕГОРОДСКАЯ, НИЖНИЙ НОВГОРОД, КУСАКОВКА, ПОЛЕВАЯ, 58, П1",623.8,142.727,181.477,22.880250080153896,56.1806818,43.9100637,"56.180682,43.910064",address
232,4703142292,"ООО ""АРСЕНАЛ-10""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"197376, САНКТ-ПЕТЕРБУРГ, ПЛЕСЕЦКАЯ, 2, 1, 48Н",488.957,142.638,166.611,29.171890370727898,60.0301543,30.2049501,"60.030154,30.20495",address
233,7733881088,"ООО ""БАСК""",МОСКВА,Среднее предприятие,"111141, МОСКВА, КУСКОВСКАЯ, 20А, 1/1",4097.138,141.785,120.141,3.4605863898165015,55.7408739,37.785077,"55.740874,37.785077",address
234,8911018470,"ООО ""ПЦН""",ЯМАЛО-НЕНЕЦКИЙ,Малое предприятие,"629851, ЯМАЛО-НЕНЕЦКИЙ, ПУРОВСКИЙ, ТАРКО-САЛЕ, ПРОМЫШЛЕННАЯ, 2",1102.868,141.188,91.069,12.801894696373456,64.9088483,77.7521784,"64.908848,77.752178",address
235,3663033415,"ООО ТСП ""ВОРОНЕЖ СТРОЙ КОМПЛЕКС""",ВОРОНЕЖСКАЯ,Среднее предприятие,"396310, ВОРОНЕЖСКАЯ, НОВОУСМАНСКИЙ, НОВАЯ УСМАНЬ, ЛЕНИНА, 275, 15",2844.177,140.815,278.63,4.950992853117088,51.6145893,39.389748,"51.614589,39.389748",address
236,1513043241,"ООО ""ПРОМЖИЛСТРОЙ РСО-АЛАНИЯ""",СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ,Малое предприятие,"362021, СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ, ВЛАДИКАВКАЗ, НЕИЗВЕСТНОГО СОЛДАТА, 12, 1",1142.806,140.676,,12.309700859113445,43.0520063,44.7011092,"43.052006,44.701109",address
237,7802707358,"ООО ""СК ВЕКТОР""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"194214, САНКТ-ПЕТЕРБУРГ, ЛИСТВЕННАЯ, 20, 2, 50Н",1841.358,140.654,188.098,7.6386015104069935,60.0291533,30.3370221,"60.029153,30.337022",address
238,5238000045,"АО ""СТРОИТЕЛЬ""",НИЖЕГОРОДСКАЯ,Среднее предприятие,"607700, НИЖЕГОРОДСКАЯ, ШАТКОВСКИЙ, ШАТКИ, ПУШКИНА, 33",1565.42,140.604,195.039,8.98187068007308,55.187111,44.1273889,"55.187111,44.127389",address
239,3235001826,"АО ""СЗ ""КОМПЛЕКТ""",БРЯНСКАЯ,Малое предприятие,"241020, БРЯНСКАЯ, БРЯНСК, ТУХАЧЕВСКОГО, 8",414.194,140.498,145.52,33.92081971250187,53.2144774,34.4266512,"53.214477,34.426651",address
240,5003110787,"ООО ""РЕКОНСТРУКЦИЯ""",МОСКОВСКАЯ,Малое предприятие,"142029, МОСКОВСКАЯ, ДОМОДЕДОВО, ЛОГИСТИЧЕСКАЯ, 10А",2563.468,140.461,197.602,5.479335025832193,55.4714094,37.7178493,"55.471409,37.717849",address
241,3015102995,"ООО  ""ГЕОБУРМОНТАЖ""",АСТРАХАНСКАЯ,Малое предприятие,"414045, АСТРАХАНСКАЯ, АСТРАХАНЬ, ТАМБОВСКАЯ, 13",314.535,140.343,,44.619199771090656,46.3409333,48.0258104,"46.340933,48.02581",address
242,7722732736,"ООО ""СФЕРА""",МОСКВА,Малое предприятие,"123290, МОСКВА, 1-Й МАГИСТРАЛЬНЫЙ, 11СТР1, I, КОМ.14Л",1929.537,139.641,88.708,7.237021109209101,55.625578,37.6063916,"55.625578,37.606392",city_or_region
243,1643012357,"ООО  ""НЕФТЕСТРОЙЭНЕРГО""",ТАТАРСТАН,Малое предприятие,"423458, ТАТАРСТАН, АЛЬМЕТЬЕВСКИЙ, АЛЬМЕТЬЕВСК, ГАБДУЛЛЫ ТУКАЯ, 41Б, 22",3598.841,139.426,185.901,3.874191718945071,54.8968271,52.3140667,"54.896827,52.314067",address
244,2632104953,"ООО ""ЮГСТРОЙ""",СТАВРОПОЛЬСКИЙ,Среднее предприятие,"357528, СТАВРОПОЛЬСКИЙ, ПЯТИГОРСК, ЕРМОЛОВА, 20О, 1",1893.621,139.073,171.33,7.3442890631229805,44.047629,43.0184311,"44.047629,43.018431",address
245,7022009793,"ООО ""СИБ-РЕКОН""",ТОМСКАЯ,Малое предприятие,"636785, ТОМСКАЯ, СТРЕЖЕВОЙ, ЕРМАКОВА, 6",1392.769,138.936,186.545,9.975523579287017,60.7122348,77.6574246,"60.712235,77.657425",address
246,2129005369,"АО ""СЗ ""ТУС""",ЧУВАШСКАЯ РЕСПУБЛИКА -,Среднее предприятие,"428034, ЧУВАШСКАЯ РЕСПУБЛИКА -, ЧЕБОКСАРЫ, МИЧМАНА ПАВЛОВА, 39, 7",1767.005,138.826,199.929,7.856570864259014,56.0984586,47.268959,"56.098459,47.268959",city_or_region
247,5027210212,"ООО ""ТРОЙКА КОНСТРАКШН""",МОСКОВСКАЯ,Среднее предприятие,"143500, МОСКОВСКАЯ, ИСТРА, СЕВЕРНЫЙ, ШОССЕЙНАЯ, 14А, 2/1",3462.634,138.711,191.405,4.005938831536917,55.9438467,36.8387548,"55.943847,36.838755",address
248,6319024310,"ООО СМПФ ""ЭЛРИ""",САМАРСКАЯ,Малое предприятие,"443031, САМАРСКАЯ, САМАРА, ТАШКЕНТСКАЯ, 248Б",414.866,138.468,149.966,33.376560142311014,53.2700226,50.2192788,"53.270023,50.219279",address
249,6150075888,"ООО ""КОМКОРД""",РОСТОВСКАЯ,Малое предприятие,"346428, РОСТОВСКАЯ, НОВОЧЕРКАССК, МИХАЙЛОВСКАЯ, 164А, 2, 3",552.514,138.301,187.776,25.031220928338467,47.415351,40.0810151,"47.415351,40.081015",address
250,9706005173,"ООО ""СМАЙНЭКС ИНЖИНИРИНГ""",МОСКВА,Малое предприятие,"119017, МОСКВА, КАДАШЁВСКАЯ, 6/1/2, 1, 1/6",238.428,138.285,25.472,57.99864109919975,55.7428235,37.6171296,"55.742824,37.61713",address
251,6234165390,"ООО ""СПЕЦПРОМСТРОЙ""",РЯЗАНСКАЯ,Малое предприятие,"390000, РЯЗАНСКАЯ, РЯЗАНЬ, ПОЛЕВАЯ, 75, Н116",1616.654,138.133,187.898,8.544376223978663,54.6206225,39.7366367,"54.620622,39.736637",address
252,6658460625,"ООО ""МАСТЕР-Р""",СВЕРДЛОВСКАЯ,Малое предприятие,"620028, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, ВИКУЛОВА, 30, КВАРТИРА 6",594.546,138.104,,23.228480218519675,56.8335663,60.5414968,"56.833566,60.541497",address
253,1655284186,"ООО СМП ""ПОРТАЛ""",ТАТАРСТАН,Малое предприятие,"420087, ТАТАРСТАН, КАЗАНЬ, АДЕЛЯ КУТУЯ, 157, 1",5169.776,137.925,167.726,2.6679105632429723,55.7727748,49.1894634,"55.772775,49.189463",address
254,7811419726,"АО ""СПЕЦСТРОЙМОНТАЖ""",ЛЕНИНГРАДСКАЯ,Малое предприятие,"188540, ЛЕНИНГРАДСКАЯ, СОСНОВЫЙ БОР, ЛЕНИНГРАДСКАЯ, 70, 4/2",343.779,137.58,,40.01989650327681,59.9031064,29.0692337,"59.903106,29.069234",address
255,6321244183,"ООО ""ПРОМСТРОЙПРОЕКТ""",САМАРСКАЯ,Малое предприятие,"445051, САМАРСКАЯ, ТОЛЬЯТТИ, МАРШАЛА ЖУКОВА, 35Б, 1006",1743.973,137.498,182.59,7.884181693179883,53.5099966,49.3009859,"53.509997,49.300986",address
256,6658456643,"ООО ""КИСЛОРОДМОНТАЖ""",СВЕРДЛОВСКАЯ,Малое предприятие,"620034, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, ТОЛЕДОВА, 41, 143",764.815,136.793,,17.885763223786142,56.8557928,60.544771,"56.855793,60.544771",address
257,7727337232,"ООО ""СТРОЙЭНЕРГОМОНТАЖ""",МОСКВА,Малое предприятие,"117036, МОСКВА, ШВЕРНИКА, 4, 2, I КОМНАТА 4 ЭТАЖ 11",252.849,136.595,,54.022361172082945,55.625578,37.6063916,"55.625578,37.606392",city_or_region
258,8601048996,"ООО ""СТАНДАРТ""",ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,Малое предприятие,"628195, ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, ОКТЯБРЬСКИЙ, ТАЛИНКА, КОММУНАЛЬНАЯ, 7, 1",1108.95,136.131,167.229,12.275666170702015,61.5447221,66.4574505,"61.544722,66.45745",address
259,2130136045,"ООО ""СЗ""МОНОЛИТ-58""",ЧУВАШСКАЯ РЕСПУБЛИКА -,Малое предприятие,"428018, ЧУВАШСКАЯ РЕСПУБЛИКА -, ЧЕБОКСАРЫ, МОСКОВСКИЙ, 17, 1, 3",124.464,135.977,92.995,109.25006427561384,56.1451477,47.2223102,"56.145148,47.22231",address
260,6165197180,"ООО СЗ ""ДОНСТРОЙ""",РОСТОВСКАЯ,Малое предприятие,"344012, РОСТОВСКАЯ, РОСТОВ-НА-ДОНУ, БУДЕННОВСКИЙ, 120/1, 107",990.921,135.501,147.95,13.674248502151029,47.2431057,39.7019207,"47.243106,39.701921",address
261,0278210378,"ООО ""СТЗ""",БАШКОРТОСТАН,Малое предприятие,"450097, БАШКОРТОСТАН, УФА, ХАДИИ ДАВЛЕТШИНОЙ, 11, А, 294",216.207,134.766,146.182,62.33193189859718,54.7365116,55.9927139,"54.736512,55.992714",address
262,3728001189,"АО ""ДСУ-1""",МОСКВА,Среднее предприятие,"125284, МОСКВА, ХОРОШЁВСКОЕ, 16, 3",715.409,134.226,286.116,18.76213466702264,55.7741834,37.5458649,"55.774183,37.545865",address
263,1658073480,"ООО ""ИМИН""",ТАТАРСТАН,Малое предприятие,"420061, ТАТАРСТАН, КАЗАНЬ, НИКОЛАЯ ЕРШОВА, 27",939.052,133.841,165.565,14.252778333894184,55.7984908,49.1781024,"55.798491,49.178102",address
264,5638073104,"ООО ""СП-33""",ОРЕНБУРГСКАЯ,Малое предприятие,"460000, ОРЕНБУРГСКАЯ, ОРЕНБУРГ, ХЛЕБНЫЙ, 3/1, 1",296.208,133.833,,45.18210176632637,51.7646002,55.0941194,"51.7646,55.094119",address
265,1515920378,"ООО СЗ ""СТК-59+""",СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ,Малое предприятие,"362041, СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ, ВЛАДИКАВКАЗ, ВЕСЕННЯЯ, 21А, 8",573.042,133.793,136.319,23.347852338921058,43.0492558,44.6200567,"43.049256,44.620057",address
266,7203094857,"ООО ""СЗ ""ИНКО И К""",ТЮМЕНСКАЯ,Малое предприятие,"625001, ТЮМЕНСКАЯ, ТЮМЕНЬ, ПОЛЕВАЯ, 115 Б",1933.401,130.26,474.812,6.7373503996325645,57.1720342,65.4896449,"57.172034,65.489645",address
267,1215048572,"АО ""СЗ ""КОНТИНЕНТ""",МАРИЙ ЭЛ,Малое предприятие,"424004, МАРИЙ ЭЛ, ЙОШКАР-ОЛА, ВОЗНЕСЕНСКАЯ, 30, II",977.758,130.241,144.673,13.32037170751863,56.6433672,47.9051436,"56.643367,47.905144",address
268,1001177997,"ООО ""ЖИЛСТРОЙТРЕСТ""",КАРЕЛИЯ,Малое предприятие,"185003, КАРЕЛИЯ, ПЕТРОЗАВОДСК, ВАРЛАМОВА, 64",136.323,129.902,,95.28986304585433,61.7756842,34.3888809,"61.775684,34.388881",address
269,7448163642,"ООО ""СТРОЙКРАФТ""",ЧЕЛЯБИНСКАЯ,Малое предприятие,"454091, ЧЕЛЯБИНСКАЯ, ЧЕЛЯБИНСК, СВОБОДЫ, 185",326.288,129.316,129.056,39.63247192664149,55.1647104,61.4102783,"55.16471,61.410278",address
270,0506001496,"ООО ""БОТЛИХАГРОПРОМДОРСТРОЙ""",ДАГЕСТАН,Малое предприятие,"368971, ДАГЕСТАН, БОТЛИХСКИЙ, БОТЛИХ, НИЧАРАХИ, 1",2594.375,128.865,162.642,4.967092266923633,42.6649255,46.2197454,"42.664926,46.219745",address
271,1435317647,"ООО ""МАГИСТРАЛЬ"" С АТК",САХА (ЯКУТИЯ),Малое предприятие,"677027, САХА (ЯКУТИЯ), ЯКУТСК, КАЛАНДАРИШВИЛИ, 1, 2",859.378,128.79,,14.986420411041474,62.0220753,129.7184318,"62.022075,129.718432",address
272,5408172453,"ООО ""СЗ ""СРС""",НОВОСИБИРСКАЯ,Среднее предприятие,"633009, НОВОСИБИРСКАЯ, БЕРДСК, ЗЕЛЕНАЯ РОЩА, 5/13",847.294,128.342,118.536,15.147280636945382,54.7393953,83.0442236,"54.739395,83.044224",address
273,1659143147,"ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СК ""УНИСТРОЙДОМ""",ТАТАРСТАН,Среднее предприятие,"420133, ТАТАРСТАН, КАЗАНЬ, ГАВРИЛОВА, 1, 15Л",1167.518,128.339,214.265,10.992464356009929,55.8273851,49.1583556,"55.827385,49.158356",address
274,2465094260,"ООО ""ДНТ""",КРАСНОЯРСКИЙ,Малое предприятие,"660077, КРАСНОЯРСКИЙ, Красноярск, ПЕТРА ЛОМАКО, 2, 355",331.228,128.131,165.518,38.683625780429196,56.0573234,92.896885,"56.057323,92.896885",address
275,2508121129,"ООО ""СЗ ""РИМЭКО""",ПРИМОРСКИЙ,Малое предприятие,"692906, ПРИМОРСКИЙ, НАХОДКА, ШОССЕЙНАЯ, 183, А, 2",905.19,126.005,126.911,13.920281929760602,42.849354,132.9621113,"42.849354,132.962111",address
276,7701866545,"ООО ""ВСК""",МОСКВА,Среднее предприятие,"105082, МОСКВА, БОЛЬШАЯ ПОЧТОВАЯ, 26В, 1, 410",1398.394,125.887,129.515,9.002255444459859,55.7784644,37.6985618,"55.778464,37.698562",address
277,7702019661,"АО РСФ ""РЕМСТРОЙСЕРВИС""",МОСКВА,Среднее предприятие,"129041, МОСКВА, ОРЛОВО-ДАВЫДОВСКИЙ, 2/5, 3",1754.842,125.059,155.802,7.126510534851571,55.7826311,37.6385056,"55.782631,37.638506",address
278,1425001669,"ПК ""МОНТАЖНИК""",САХА (ЯКУТИЯ),Малое предприятие,"678650, САХА (ЯКУТИЯ), ТАТТИНСКИЙ, ЫТЫК-КЮЕЛЬ, ЮБИЛЕЙНАЯ, 9",1768.12,124.792,180.06,7.057891998280659,62.3411829,133.5368088,"62.341183,133.536809",address
279,3662149086,"ООО ""СПЕЦСТРОЙ""",ВОРОНЕЖСКАЯ,Малое предприятие,"394068, ВОРОНЕЖСКАЯ, ВОРОНЕЖ, ШИШКОВА, 75Б, 5",1862.616,124.745,156.507,6.697301000313538,51.7058976,39.1952625,"51.705898,39.195262",address
280,7814558855,"ООО ""СК ""ПОТЕНЦИАЛ""",САНКТ-ПЕТЕРБУРГ,Среднее предприятие,"197375, САНКТ-ПЕТЕРБУРГ, РЕПИЩЕВА, 14, АД",1370.528,124.197,159.95,9.061981951481473,60.0304906,30.2785648,"60.030491,30.278565",address
281,9718003519,"ООО ""МОНОЛИТНОЕ ДОМОСТРОЕНИЕ""",МОСКВА,Малое предприятие,"108814, МОСКВА, КОММУНАРКА, 24-Й, 1, 1, 6",470.272,123.601,-15.919,26.28287459172564,55.5878455,37.4437418,"55.587846,37.443742",address
282,5405341390,"ООО СЗ ""ЖК АКАДЕМИЯ""",НОВОСИБИРСКАЯ,Малое предприятие,"630102, НОВОСИБИРСКАЯ, НОВОСИБИРСК, ШЕВЧЕНКО, 19/1, КАБИНЕТ 2",39.772,123.575,-34.454,310.70853867042143,55.0180009,82.9333172,"55.018001,82.933317",address
283,0107027037,"ООО ""ФОРВАРД""",АДЫГЕЯ,Малое предприятие,"385140, АДЫГЕЯ, ТАХТАМУКАЙСКИЙ, ТАХТАМУКАЙ, МОРСКАЯ, 4/1",734.343,123.421,144.465,16.806996185706137,44.9769341,38.9561482,"44.976934,38.956148",address
284,1215214967,"ООО ""ТРЕЙДИНВЕСТ""",МАРИЙ ЭЛ,Малое предприятие,"424003, МАРИЙ ЭЛ, ЙОШКАР-ОЛА, БАУМАНА, 16, 9",147.181,123.31,91.813,83.78119458354,56.6409009,47.8439489,"56.640901,47.843949",address
285,2311159020,"ООО ""СЭС""",КРАСНОДАРСКИЙ,Малое предприятие,"350028, КРАСНОДАРСКИЙ, КРАСНОДАР, ИМ. ГЕРОЯ АВЕРКИЕВА А.А., 22, 74",936.963,123.25,142.665,13.154201393224707,45.0609293,39.0326473,"45.060929,39.032647",address
286,7448100515,"ООО ""СТРОЙКАПИТАЛ""",ЧЕЛЯБИНСКАЯ,Малое предприятие,"454106, ЧЕЛЯБИНСКАЯ, ЧЕЛЯБИНСК, ЧАЙКОВСКОГО, 15, 326",299.476,123.214,,41.14319678371556,55.1911935,61.363956,"55.191194,61.363956",address
287,3444186948,"ООО ""ЮГ СТРОЙ""",ВОЛГОГРАДСКАЯ,Малое предприятие,"400078, ВОЛГОГРАДСКАЯ, ВОЛГОГРАД, ИМ. В.И. ЛЕНИНА, 98",185.24,122.523,,66.14284171885122,48.7484912,44.5497273,"48.748491,44.549727",address
288,6658473007,"ООО ""ЛЕВ""",СВЕРДЛОВСКАЯ,Малое предприятие,"620902, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, ГОРНЫЙ ЩИТ, СВЕРДЛОВА, 48",1546.314,122.18,82.126,7.901370614247817,56.6942806,60.5365214,"56.694281,60.536521",address
289,3665100339,"ООО ""ПОДРЯД СТРОЙ""",ВОРОНЕЖСКАЯ,Малое предприятие,"394016, ВОРОНЕЖСКАЯ, ВОРОНЕЖ, МОСКОВСКИЙ, 42Б, I",176.164,122.127,,69.32574192229967,51.69297,39.1842275,"51.69297,39.184228",address
290,7816131635,"АО ""ПЕТРОС""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"192007, САНКТ-ПЕТЕРБУРГ, ЛИГОВСКИЙ, 200А, А, 7Н",888.901,120.751,160.948,13.584302413879612,59.9135624,30.3489769,"59.913562,30.348977",address
291,7709862944,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК Ю-ИНВЕСТ""",МОСКОВСКАЯ,Малое предприятие,"141401, МОСКОВСКАЯ, ХИМКИ, ОЗЕРНАЯ, 1",15.292,120.143,164.937,785.659168192519,55.8991547,37.4516935,"55.899155,37.451694",address
292,2223056681,"ООО ""РПК""",НОВОСИБИРСКАЯ,Малое предприятие,"630083, НОВОСИБИРСКАЯ, НОВОСИБИРСК, БОЛЬШЕВИСТСКАЯ, 177/24, 302",482.51,119.714,159.618,24.81067749891194,54.9934299,82.9763187,"54.99343,82.976319",address
293,1609036742,"ООО ""СОЮЗ СТРОЙ""",ТАТАРСТАН,Малое предприятие,"422022, ТАТАРСТАН, АРСКИЙ, МЕНДЮШ, МТС, 1А, 1",1577.726,119.011,107.2,7.543198248618581,56.1693592,49.9072411,"56.169359,49.907241",city_or_region
294,2536269896,"ООО ""АРКТИКА""",ПРИМОРСКИЙ,Малое предприятие,"690034, ПРИМОРСКИЙ, ВЛАДИВОСТОК, ВОРОПАЕВА, 11, 207",491.549,118.873,126.162,24.18334692980761,43.1064485,131.9475405,"43.106448,131.94754",address
295,9201519498,"ООО ""АЛЬФА ГРУПП ПОДРЯД""",СЕВАСТОПОЛЬ,Малое предприятие,"299008, СЕВАСТОПОЛЬ, МЕЧНИКОВА, 5, 9-Б/4",240.583,118.873,,49.410390592851535,44.60257,33.50874,"44.60257,33.50874",address
296,5025012896,"АО ""ДУКС""",МОСКОВСКАЯ,Малое предприятие,"141704, МОСКОВСКАЯ, Долгопрудный, НАБЕРЕЖНАЯ, 23, 1, НП 6",,118.729,-41.082,,55.9625968,37.5222103,"55.962597,37.52221",address
297,7724424720,"ООО ""СТРОЙМОНТАЖ""",МОСКВА,Малое предприятие,"115230, МОСКВА, ХЛЕБОЗАВОДСКИЙ, 7, 9, 39/Н",992.28,118.426,,11.934736163179748,55.6698936,37.6325049,"55.669894,37.632505",address
298,3817026548,"ООО ""ИЛИМСПЕЦЗАЩИТА""",ИРКУТСКАЯ,Малое предприятие,"666684, ИРКУТСКАЯ, УСТЬ-ИЛИМСК, 000000/1592",272.613,118.168,,43.34642882034239,57.9388562,102.7374626,"57.938856,102.737463",address
299,5405458373,"ООО ""АМТ-ГРУПП""",НОВОСИБИРСКАЯ,Малое предприятие,"630048, НОВОСИБИРСКАЯ, НОВОСИБИРСК, НЕМИРОВИЧА-ДАНЧЕНКО, 120/2, 3",2849.079,117.845,169.614,4.136248942202024,54.9758341,82.9000789,"54.975834,82.900079",address
300,7726276121,"ООО ""СТРОИТЕЛЬ-9""",МОСКВА,Малое предприятие,"107497, МОСКВА, ИРКУТСКАЯ, 17, 4",550.551,117.243,,21.2955747968853,55.8243565,37.7822835,"55.824356,37.782284",address
301,2208060980,"ООО ""СК ВЕРШИНА""",АЛТАЙСКИЙ,Малое предприятие,"658080, АЛТАЙСКИЙ, НОВОАЛТАЙСК, ВЫСОКОВОЛЬТНАЯ, 2А, 2",190.477,116.586,120.591,61.207389868593054,53.4257474,83.9255709,"53.425747,83.925571",address
302,6730033514,"ООО СЗ ""ГРАЖДАНСТРОЙ""",СМОЛЕНСКАЯ,Малое предприятие,"214019, СМОЛЕНСКАЯ, СМОЛЕНСК, ТРАМВАЙНЫЙ, 14, 309",114.657,116.256,140.894,101.39459431172978,54.7695606,32.0704655,"54.769561,32.070465",address
303,7447220947,"ООО ""ГЕНЕРАЦИОННОЕ ОБОРУДОВАНИЕ""",ЧЕЛЯБИНСКАЯ,Малое предприятие,"454080, ЧЕЛЯБИНСКАЯ, ЧЕЛЯБИНСК, ТЕРНОПОЛЬСКАЯ, 6, 108",847.214,115.681,126.004,13.654283333372677,55.1555272,61.3700726,"55.155527,61.370073",address
304,5503174732,"ООО СК ""ФОРДЕВИНД""",ОМСКАЯ,Малое предприятие,"644042, ОМСКАЯ, ОМСК, ИРТЫШСКАЯ НАБЕРЕЖНАЯ, 14А, 4",1102.223,115.586,,10.48662566467947,54.9612113,73.3798927,"54.961211,73.379893",address
305,4823038399,"ОАО ТРЕСТ ""ЛИПЕЦКСТРОЙ""",ЛИПЕЦКАЯ,Среднее предприятие,"398017, ЛИПЕЦКАЯ, ЛИПЕЦК, 9-ГО МАЯ, 14",2130.277,114.859,182.109,5.391740135203075,52.5717038,39.6150847,"52.571704,39.615085",address
306,1424008929,"ООО ""ВИД""",САХА (ЯКУТИЯ),Малое предприятие,"678290, САХА (ЯКУТИЯ), СУНТАРСКИЙ, СУНТАР, СТРОДА, 19",163.708,114.356,127.858,69.8536418501234,62.1587105,117.6431695,"62.15871,117.64317",address
307,3907202653,"ООО ""ТРИКА-СТРОЙ""",КАЛИНИНГРАДСКАЯ,Малое предприятие,"236029, КАЛИНИНГРАДСКАЯ, КАЛИНИНГРАД, ГЕРЦЕНА, 68А, XVIII",564.443,114.124,152.19,20.218870638842187,54.7518953,20.5339718,"54.751895,20.533972",address
308,3525168721,"ООО ""ЦЕНТРСПЕЦАВТОМАТИКА""",МОСКВА,Среднее предприятие,"109004, МОСКВА, ЗЕМЛЯНОЙ ВАЛ, 64, 2, 2/4",4737.634,114.007,121.729,2.4064121458094907,55.7461097,37.6547441,"55.74611,37.654744",address
309,1661057880,"ООО ""СК ГАЛАТА""",ТАТАРСТАН,Малое предприятие,"420085, ТАТАРСТАН, КАЗАНЬ, ОБНОРСКОГО, 208, 1, 3",1006.106,113.72,155.552,11.302983979819224,55.863137,49.025059,"55.863137,49.025059",address
310,7751179308,"ООО ""ФД ТЕХНОЛОГИЯ""",МОСКВА,Среднее предприятие,"108842, МОСКВА, ТРОИЦК, ПОЛКОВНИКА МИЛИЦИИ КУРОЧКИНА, 19, 4/5",1817.74,113.705,108.477,6.255295036693917,55.4891432,37.3021396,"55.489143,37.30214",address
311,4025084289,"ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""НОВЫЙ ГОРОД""",КАЛУЖСКАЯ,Малое предприятие,"249034, КАЛУЖСКАЯ, ОБНИНСК, ПОЛЕНОВА, 11, 1",1083.331,113.655,163.326,10.49125336577648,55.1315736,36.5733546,"55.131574,36.573355",address
312,7703733340,"АО ПСК ""МОНОЛИТ""",МОСКВА,Малое предприятие,"123557, МОСКВА, БОЛЬШОЙ ТИШИНСКИЙ, 43",431.177,113.612,135.803,26.34927187674667,55.7692627,37.5680049,"55.769263,37.568005",address
