Место в рейтинге,ИНН,Компания,Регион,Категория МСП,Адрес,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %",Широта,Долгота,Геоточка,Точность геокодирования
105,2632083929,"ООО ""МКАД""",ЧЕЧЕНСКАЯ,Малое предприятие,"366208, ЧЕЧЕНСКАЯ, ГУДЕРМЕССКИЙ, ГУДЕРМЕС, АХМАТ-ХАДЖИ КАДЫРОВА, 38, 13/1",2886.055,249.714,333.37,8.652433858675597,43.3530186,46.1049578,"43.353019,46.104958",city_or_region
106,1435194970,"ООО ""СЗ ВЫСОТА""",САХА (ЯКУТИЯ),Малое предприятие,"677008, САХА (ЯКУТИЯ), ЯКУТСК, ЛОНГИНОВА, 20",16.665,248.597,353.512,1491.7311731173118,62.0265426,129.6813768,"62.026543,129.681377",address
107,7727803780,"ООО ""СК СИСТЕМА""",МОСКОВСКАЯ,Среднее предприятие,"140070, МОСКОВСКАЯ, ЛЮБЕРЦЫ, ТОМИЛИНО, ГАРШИНА, 11, 11",4861.148,246.932,371.998,5.079705452292339,55.6643407,37.9637584,"55.664341,37.963758",address
108,7723596596,"ООО ""СТЭЛС-СК""",МОСКВА,Малое предприятие,"105118, МОСКВА, ЭНТУЗИАСТОВ, 34, 23/3",1382.769,246.783,330.287,17.847015662052012,55.7558154,37.7274467,"55.755815,37.727447",address
109,5903070946,"ООО ""КОЛИБРИ""",ПЕРМСКИЙ,Малое предприятие,"614500, ПЕРМСКИЙ, ПЕРМСКИЙ, ХМЕЛИ, КОСМОНАВТОВ, 320Б/11",1193.162,245.163,,20.54733556717361,57.9510299,56.1012992,"57.95103,56.101299",address
110,2312200175,"ООО ""ИСК ФАВОРИТ""",КРАСНОДАРСКИЙ,Малое предприятие,"350063, КРАСНОДАРСКИЙ, Краснодар, КОМСОМОЛЬСКАЯ, 15, 32",1336.023,244.517,305.384,18.30185558182756,45.0200129,38.9654371,"45.020013,38.965437",address
111,6234132853,"ООО ""СТРОЙКОМПЛЕКТСЕРВИС""",РЯЗАНСКАЯ,Среднее предприятие,"390013, РЯЗАНСКАЯ, РЯЗАНЬ, ШОССЕЙНЫЙ, 3",4966.128,244.243,350.381,4.918177703031415,54.6301521,39.6985374,"54.630152,39.698537",address
112,5404041266,"ООО ""ФОРТУНА +""",НОВОСИБИРСКАЯ,Малое предприятие,"630054, НОВОСИБИРСКАЯ, НОВОСИБИРСК, КОСТЫЧЕВА, 5, 1",684.67,243.475,329.573,35.56092716199045,54.9806334,82.8766326,"54.980633,82.876633",address
113,7733661420,"ООО ""СК КАСКАД""",МОСКВА,Малое предприятие,"108814, МОСКВА, КОММУНАРКА, КОММУНАРКА, АЛЕКСАНДРЫ МОНАХОВОЙ, 30, 1, 516",2167.544,243.361,263.59,11.22749988004857,55.5690764,37.4781677,"55.569076,37.478168",address
114,2464134287,"ООО ""СТРОЙАКТИВ""",КРАСНОЯРСКИЙ,Малое предприятие,"660012, КРАСНОЯРСКИЙ, КРАСНОЯРСК, КАРАМЗИНА, 28А, 302",242.294,242.767,222.5,100.1952173805377,55.9889922,92.8486963,"55.988992,92.848696",address
115,7726761368,"ООО ""МЕКОМ""",МОСКВА,Среднее предприятие,"129347, МОСКВА, ЯРОСЛАВСКОЕ, 146, 2, 4",3721.295,241.279,348.587,6.483737516106625,55.8763653,37.7211525,"55.876365,37.721152",address
